t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.30200	-1.9839	-1.7581	-1.8710	0.12130	0.061924	0.091612	-0.23957	-0.16519	-0.20238	-0.10128	-0.14942	-0.12535
0.30400	-2.0556	-2.0691	-2.0624	-0.031089	-0.050305	-0.040697	-0.052960	-0.40135	-0.22716	-0.10128	-0.26238	-0.18183
0.30600	-1.9042	-1.4871	-1.6956	0.24161	0.10200	0.17181	0.19586	0.083398	0.13963	0.19983	0.038846	0.11934
0.30800	-2.0556	-1.8777	-1.9667	0.081198	0.10200	0.091601	-0.23957	-0.16519	-0.20238	0.011633	-0.14942	-0.068895
0.31000	-2.1353	-1.9575	-2.0464	0.041095	0.10200	0.071550	0.0092440	-0.16519	-0.077975	0.011633	-0.086666	-0.037517
0.31200	-1.9839	-1.4472	-1.7155	0.32181	0.18217	0.25199	0.30782	0.33199	0.31991	0.074365	0.22711	0.15074
0.31400	-2.2549	-1.9176	-2.0862	0.081198	0.14209	0.11164	0.0092440	-0.040897	-0.015827	-0.038552	-0.14942	-0.093988
0.31600	-2.0955	-1.8379	-1.9667	0.16140	0.14209	0.15174	0.19586	-0.040897	0.077480	0.13710	0.038846	0.087972
0.31800	-2.1752	-1.5269	-1.8510	0.16140	0.22225	0.19183	0.25806	0.26984	0.26395	0.19983	0.10160	0.15072
0.32000	-2.2549	-2.1090	-2.1819	0.12130	0.10200	0.11165	0.071448	-0.040897	0.015275	-0.038552	-0.19963	-0.11909
0.32200	-2.1353	-1.8379	-1.9866	0.12130	0.30241	0.21186	0.13365	0.14555	0.13960	0.074365	0.10160	0.087984
0.32400	-2.4461	-1.7581	-2.1021	0.16140	0.14209	0.15174	-0.11516	0.083398	-0.015883	-0.10128	-0.023910	-0.062597
0.32600	-2.6453	-2.2286	-2.4370	-0.071192	0.029858	-0.020667	-0.28934	-0.16519	-0.22726	-0.28948	-0.26238	-0.27593
0.32800	-2.5657	-1.9575	-2.2616	0.041095	0.30241	0.17175	-0.052960	0.021250	-0.015855	-0.16402	0.10160	-0.031207
0.33000	-2.7171	-1.9973	-2.3572	0.0090130	0.029858	0.019436	-0.35154	-0.10305	-0.22729	-0.28948	-0.26238	-0.27593
0.33200	-2.6055	-2.5395	-2.5725	0.081198	0.029858	0.055528	-0.23957	-0.27706	-0.25832	0.074365	-0.32514	-0.12539
0.33400	-2.3266	-2.1488	-2.2377	0.16140	0.18217	0.17179	0.19586	-0.040897	0.077480	0.074365	0.10160	0.087984
0.33600	-2.4860	-2.2286	-2.3573	0.16140	0.029858	0.095630	0.13365	-0.10305	0.015303	0.011633	-0.19963	-0.093998
0.33800	-2.2947	-2.3801	-2.3374	0.32181	0.14209	0.23195	0.071448	-0.040897	0.015275	0.26256	-0.14942	0.056569
0.34000	-2.2947	-1.9973	-2.1460	0.32181	0.34250	0.33215	0.19586	0.26984	0.23285	0.32529	0.35263	0.33896
0.34200	-2.6772	-2.1887	-2.4330	0.24161	0.10200	0.17181	0.19586	-0.040897	0.077480	-0.038552	-0.086666	-0.062609
0.34400	-2.7171	-2.2286	-2.4728	0.12130	0.34250	0.23190	0.0092440	0.38171	0.19548	0.011633	0.22711	0.11937
0.34600	-2.7968	-2.0691	-2.4329	0.12130	0.34250	0.23190	0.0092440	0.26984	0.13954	-0.10128	0.22711	0.062915
0.34800	-3.1872	-2.4199	-2.8036	-0.071192	0.029858	-0.020667	-0.23957	-0.21491	-0.22724	-0.28948	-0.26238	-0.27593
0.35000	-2.7569	-2.4996	-2.6283	0.24161	0.18217	0.21189	0.13365	0.14555	0.13960	0.011633	-0.023910	-0.0061385
0.35200	-2.9561	-2.4199	-2.6880	0.081198	0.26233	0.17176	-0.11516	-0.16519	-0.14018	-0.10128	-0.086666	-0.093975
0.35400	-3.0279	-2.7309	-2.8794	0.20151	-0.010224	0.095641	-0.23957	-0.33921	-0.28939	-0.10128	-0.45065	-0.27597
0.35600	-2.7171	-2.5395	-2.6283	0.24161	0.22225	0.23193	0.19586	0.14555	0.17070	0.19983	-0.023910	0.087959
0.35800	-3.0279	-2.5395	-2.7837	0.12130	0.18217	0.15173	-0.052960	-0.10305	-0.078002	-0.10128	-0.086666	-0.093975
0.36000	-2.9960	-2.6910	-2.8435	0.20151	0.14209	0.17180	0.0092440	-0.16519	-0.077975	-0.038552	-0.19963	-0.11909
0.36200	-2.8366	-2.4996	-2.6681	0.16140	0.30241	0.23191	0.071448	0.26984	0.17064	0.13710	0.28987	0.21348
0.36400	-3.1872	-2.6591	-2.9232	0.081198	0.18217	0.13168	-0.11516	-0.10305	-0.10910	-0.10128	-0.086666	-0.093975
0.36600	-2.9960	-2.6910	-2.8435	0.28171	0.22225	0.25198	0.071448	-0.040897	0.015275	0.26256	0.038846	0.15070
0.36800	-2.7968	-2.4996	-2.6482	0.32181	0.34250	0.33215	0.13365	0.33199	0.23282	0.19983	0.28987	0.24485
0.37000	-3.1872	-2.8106	-2.9989	0.24161	0.10200	0.17181	0.071448	-0.16519	-0.046873	-0.038552	-0.14942	-0.093988
0.37200	-2.9960	-2.6910	-2.8435	0.32181	0.26233	0.29207	0.19586	0.021250	0.10855	0.13710	0.038846	0.087972
0.37400	-3.1872	-2.7309	-2.9591	0.16140	0.26233	0.21187	-0.052960	0.20769	0.077367	0.011633	0.22711	0.11937
0.37600	-3.4582	-2.8903	-3.1743	0.16140	0.18217	0.17179	-0.28934	-0.16519	-0.22726	-0.41494	-0.19963	-0.30729
